permutation_i,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
28,7424,7633,7661,7633,7610,7605,7540,7396,7204,6870,6363,5811,5340,5211,5038,5059,5062,5198,5483,5697,5784,5819,5685,5225,4458
29,6506,6280,6078,5788,5568,5563,6006,6471,6490,6250,5672,5196,4893,4471,4011,4281,4834,5236,5341,5480,5402,5060,4866,4546,4397
30,5972,6891,7656,7943,7993,7944,7746,7517,7175,6538,5856,5482,5291,5222,5196,5174,5091,4953,4972,5109,5397,5573,5805,6007,6125
31,6556,5926,5661,5803,6140,6669,7086,7275,7338,7418,7429,7290,6811,6313,5948,5614,5410,4902,4748,4766,4900,5307,5572,5616,5394
32,7626,7321,6826,5953,5218,4928,5218,5811,6313,6542,6467,6192,5279,4333,3830,4005,4881,5987,6624,6740,6553,6200,5472,4803,4834
33,6310,6265,6425,6488,6431,6269,6008,5620,5652,5859,6231,6605,6744,6645,6275,5663,4866,4249,4394,4904,5458,5718,5800,5803,5797
34,7461,7556,7621,7663,7543,7235,6728,5957,5229,4879,5156,5492,5632,5604,5289,4933,4826,4875,5044,5436,5808,5904,5868,5808,5613
35,7079,6989,6855,6503,6133,5641,5559,5801,5996,6046,5986,5797,5544,5469,5353,5304,5172,5121,5144,5252,5649,5950,5975,5945,5826
36,7242,7337,7421,7381,7172,6707,6134,5861,5704,5696,5826,5916,5975,5981,5880,5605,5177,4758,4812,5169,5633,6109,6394,6321,5979
37,5512,5438,5437,5575,5857,6025,5886,5720,5619,5450,5534,5485,5123,4549,4194,4164,4481,4919,5352,5624,5896,6028,5961,5851,5798
38,7123,6884,6659,6538,6501,6606,6744,6818,6794,6636,6420,6315,6216,5951,5634,5150,4560,3937,4010,5056,6086,6748,6886,6663,6025
39,7296,7001,6684,6276,6109,6235,6489,6548,6436,5988,5315,4851,4849,5217,5635,5696,5317,4894,4479,4707,5160,5596,6004,6527,6813
40,7483,7527,7452,7293,7097,6780,6365,5863,5507,5473,5525,5536,5579,5844,6026,5961,5670,5234,4577,4002,4035,4508,5048,5414,5668
41,7389,7444,7389,7265,7104,6848,6403,5901,5449,5221,5438,6057,6210,5898,5443,4944,4813,4805,4711,4635,4550,4650,4709,4643,4605
